00:00:00.042988 Send to PLC Delay Applied, 50 ms
00:00:32.479426 Send to PLC Delay Applied, 50 ms
00:00:32.530330 Send to PLC Delay Applied, 50 ms
00:00:33.006802 Send to PLC Delay Applied, 50 ms
00:00:33.545658 Send to PLC Delay Applied, 50 ms
00:00:34.079143 Send to PLC Delay Applied, 50 ms
00:00:34.608770 Send to PLC Delay Applied, 50 ms
00:00:34.659610 Send to PLC Delay Applied, 50 ms
00:00:35.139197 Send to PLC Delay Applied, 50 ms
00:00:35.673859 Send to PLC Delay Applied, 50 ms
00:00:36.206251 Send to PLC Delay Applied, 50 ms
00:00:36.737802 Send to PLC Delay Applied, 50 ms
00:00:37.263622 Send to PLC Delay Applied, 50 ms
00:00:37.796232 Send to PLC Delay Applied, 50 ms
00:00:38.338577 Send to PLC Delay Applied, 50 ms
00:00:38.861401 Send to PLC Delay Applied, 50 ms
00:00:39.392807 Send to PLC Delay Applied, 50 ms
00:00:39.926385 Send to PLC Delay Applied, 50 ms
00:00:40.458900 Send to PLC Delay Applied, 50 ms
00:00:40.510770 Send to PLC Delay Applied, 50 ms
00:00:40.988652 Send to PLC Delay Applied, 50 ms
00:00:41.525157 Send to PLC Delay Applied, 50 ms
00:00:42.057587 Send to PLC Delay Applied, 50 ms
00:00:42.581398 Send to PLC Delay Applied, 50 ms
00:00:42.632306 Send to PLC Delay Applied, 50 ms
00:00:43.114197 Send to PLC Delay Applied, 50 ms
00:00:43.166836 Send to PLC Delay Applied, 50 ms
00:00:43.652322 Send to PLC Delay Applied, 50 ms
00:00:43.703170 Send to PLC Delay Applied, 50 ms
00:00:44.182873 Send to PLC Delay Applied, 50 ms
00:00:44.716784 Send to PLC Delay Applied, 50 ms
00:00:45.241060 Send to PLC Delay Applied, 50 ms
00:00:45.777853 Send to PLC Delay Applied, 50 ms
00:00:45.828813 Send to PLC Delay Applied, 50 ms
00:00:46.304460 Send to PLC Delay Applied, 50 ms
00:00:46.355334 Send to PLC Delay Applied, 50 ms
00:00:46.841064 Send to PLC Delay Applied, 50 ms
00:00:47.371598 Send to PLC Delay Applied, 50 ms
00:00:47.423245 Send to PLC Delay Applied, 50 ms
00:00:47.904150 Send to PLC Delay Applied, 50 ms
00:00:48.430530 Send to PLC Delay Applied, 50 ms
00:00:48.970131 Send to PLC Delay Applied, 50 ms
00:00:49.495892 Send to PLC Delay Applied, 50 ms
00:00:49.546801 Send to PLC Delay Applied, 50 ms
00:00:50.030488 Send to PLC Delay Applied, 50 ms
00:00:50.560107 Send to PLC Delay Applied, 50 ms
00:00:51.094642 Send to PLC Delay Applied, 50 ms
00:00:51.145356 Send to PLC Delay Applied, 50 ms
00:00:51.630000 Send to PLC Delay Applied, 50 ms
00:00:51.680822 Send to PLC Delay Applied, 50 ms
00:00:52.158798 Send to PLC Delay Applied, 50 ms
00:00:52.688191 Send to PLC Delay Applied, 50 ms
00:00:52.740049 Send to PLC Delay Applied, 50 ms
00:00:53.223764 Send to PLC Delay Applied, 50 ms
00:00:53.754340 Send to PLC Delay Applied, 50 ms
00:00:54.295090 Send to PLC Delay Applied, 50 ms
00:00:54.815468 Send to PLC Delay Applied, 50 ms
00:00:54.866684 Send to PLC Delay Applied, 50 ms
00:00:55.349236 Send to PLC Delay Applied, 50 ms
00:00:55.399931 Send to PLC Delay Applied, 50 ms
00:00:55.879888 Send to PLC Delay Applied, 50 ms
00:00:56.419468 Send to PLC Delay Applied, 50 ms
00:00:56.944748 Send to PLC Delay Applied, 50 ms
00:00:56.995605 Send to PLC Delay Applied, 50 ms
00:00:57.481541 Send to PLC Delay Applied, 50 ms
00:00:58.007217 Send to PLC Delay Applied, 50 ms
00:00:58.539464 Send to PLC Delay Applied, 50 ms
00:00:59.078087 Send to PLC Delay Applied, 50 ms
00:00:59.602671 Send to PLC Delay Applied, 50 ms
00:01:00.136335 Send to PLC Delay Applied, 50 ms
00:01:00.666006 Send to PLC Delay Applied, 50 ms
00:01:01.202604 Send to PLC Delay Applied, 50 ms
00:01:01.730014 Send to PLC Delay Applied, 50 ms
00:01:01.780800 Send to PLC Delay Applied, 50 ms
00:01:02.264505 Send to PLC Delay Applied, 50 ms
00:01:02.795346 Send to PLC Delay Applied, 50 ms
00:01:02.846039 Send to PLC Delay Applied, 50 ms
00:01:03.330948 Send to PLC Delay Applied, 50 ms
00:01:03.862499 Send to PLC Delay Applied, 50 ms
00:01:03.913114 Send to PLC Delay Applied, 50 ms
00:01:04.390262 Send to PLC Delay Applied, 50 ms
00:01:04.923648 Send to PLC Delay Applied, 50 ms
00:01:05.452168 Send to PLC Delay Applied, 50 ms
00:01:05.503092 Send to PLC Delay Applied, 50 ms
00:01:05.983612 Send to PLC Delay Applied, 50 ms
00:01:06.518237 Send to PLC Delay Applied, 50 ms
00:01:07.052885 Send to PLC Delay Applied, 50 ms
00:01:07.586355 Send to PLC Delay Applied, 50 ms
00:01:08.111153 Send to PLC Delay Applied, 50 ms
00:01:08.648835 Send to PLC Delay Applied, 50 ms
00:01:08.701621 Send to PLC Delay Applied, 50 ms
00:01:09.176257 Send to PLC Delay Applied, 50 ms
00:01:09.226914 Send to PLC Delay Applied, 50 ms
00:01:09.709644 Send to PLC Delay Applied, 50 ms
00:01:10.242245 Send to PLC Delay Applied, 50 ms
00:01:10.294181 Send to PLC Delay Applied, 50 ms
00:01:10.772738 Send to PLC Delay Applied, 50 ms
00:01:10.825696 Send to PLC Delay Applied, 50 ms
00:01:11.308411 Send to PLC Delay Applied, 50 ms
00:01:11.359453 Send to PLC Delay Applied, 50 ms
00:01:11.840982 Send to PLC Delay Applied, 50 ms
00:01:11.892780 Send to PLC Delay Applied, 50 ms
00:01:12.367874 Send to PLC Delay Applied, 50 ms
00:01:12.419371 Send to PLC Delay Applied, 50 ms
00:01:12.900330 Send to PLC Delay Applied, 50 ms
00:01:13.432894 Send to PLC Delay Applied, 50 ms
00:01:13.969460 Send to PLC Delay Applied, 50 ms
00:01:14.493798 Send to PLC Delay Applied, 50 ms
00:01:15.031634 Send to PLC Delay Applied, 50 ms
00:01:15.560967 Send to PLC Delay Applied, 50 ms
00:01:15.612087 Send to PLC Delay Applied, 50 ms
00:01:16.091760 Send to PLC Delay Applied, 50 ms
00:01:16.621297 Send to PLC Delay Applied, 50 ms
00:01:16.672211 Send to PLC Delay Applied, 50 ms
00:01:17.154933 Send to PLC Delay Applied, 50 ms
00:01:17.692520 Send to PLC Delay Applied, 50 ms
00:01:18.220123 Send to PLC Delay Applied, 50 ms
00:01:18.270724 Send to PLC Delay Applied, 50 ms
00:01:18.754433 Send to PLC Delay Applied, 50 ms
00:01:19.285215 Send to PLC Delay Applied, 50 ms
00:01:19.819586 Send to PLC Delay Applied, 50 ms
00:01:20.344394 Send to PLC Delay Applied, 50 ms
00:01:20.875757 Send to PLC Delay Applied, 50 ms
00:01:21.415306 Send to PLC Delay Applied, 50 ms
00:01:21.943092 Send to PLC Delay Applied, 50 ms
00:01:22.470784 Send to PLC Delay Applied, 50 ms
00:01:23.008037 Send to PLC Delay Applied, 50 ms
00:01:23.058907 Send to PLC Delay Applied, 50 ms
00:01:23.546823 Send to PLC Delay Applied, 50 ms
00:01:23.597679 Send to PLC Delay Applied, 50 ms
00:01:24.068393 Send to PLC Delay Applied, 50 ms
00:01:24.119037 Send to PLC Delay Applied, 50 ms
00:01:24.602812 Send to PLC Delay Applied, 50 ms
00:01:25.136347 Send to PLC Delay Applied, 50 ms
00:01:25.664936 Send to PLC Delay Applied, 50 ms
00:01:26.196736 Send to PLC Delay Applied, 50 ms
00:01:26.730309 Send to PLC Delay Applied, 50 ms
00:01:27.264659 Send to PLC Delay Applied, 50 ms
00:01:27.798225 Send to PLC Delay Applied, 50 ms
00:01:27.848298 Send to PLC Delay Applied, 50 ms
00:01:28.327026 Send to PLC Delay Applied, 50 ms
00:01:28.377668 Send to PLC Delay Applied, 50 ms
00:01:28.858421 Send to PLC Delay Applied, 50 ms
00:01:28.909459 Send to PLC Delay Applied, 50 ms
00:01:29.385987 Send to PLC Delay Applied, 50 ms
00:01:29.919852 Send to PLC Delay Applied, 50 ms
00:01:30.454337 Send to PLC Delay Applied, 50 ms
00:01:30.982882 Send to PLC Delay Applied, 50 ms
00:01:31.514483 Send to PLC Delay Applied, 50 ms
00:01:31.565377 Send to PLC Delay Applied, 50 ms
00:01:32.048071 Send to PLC Delay Applied, 50 ms
00:01:32.581775 Send to PLC Delay Applied, 50 ms
00:01:32.634279 Send to PLC Delay Applied, 50 ms
00:01:33.109310 Send to PLC Delay Applied, 50 ms
00:01:33.645650 Send to PLC Delay Applied, 50 ms
00:01:34.174361 Send to PLC Delay Applied, 50 ms
00:01:34.708750 Send to PLC Delay Applied, 50 ms
00:01:35.238539 Send to PLC Delay Applied, 50 ms
00:01:35.768178 Send to PLC Delay Applied, 50 ms
00:01:35.818743 Send to PLC Delay Applied, 50 ms
00:01:36.299571 Send to PLC Delay Applied, 50 ms
00:01:36.836095 Send to PLC Delay Applied, 50 ms
00:01:37.365612 Send to PLC Delay Applied, 50 ms
00:01:37.418476 Send to PLC Delay Applied, 50 ms
00:01:37.896440 Send to PLC Delay Applied, 50 ms
00:01:38.426764 Send to PLC Delay Applied, 50 ms
00:01:38.477676 Send to PLC Delay Applied, 50 ms
00:01:38.968451 Send to PLC Delay Applied, 50 ms
00:01:39.019365 Send to PLC Delay Applied, 50 ms
00:01:39.493130 Send to PLC Delay Applied, 50 ms
00:01:40.024523 Send to PLC Delay Applied, 50 ms
00:01:40.561185 Send to PLC Delay Applied, 50 ms
00:01:41.092866 Send to PLC Delay Applied, 50 ms
00:01:41.143758 Send to PLC Delay Applied, 50 ms
00:01:41.620259 Send to PLC Delay Applied, 50 ms
00:01:41.671367 Send to PLC Delay Applied, 50 ms
00:01:42.155863 Send to PLC Delay Applied, 50 ms
00:01:42.206909 Send to PLC Delay Applied, 50 ms
00:01:42.684422 Send to PLC Delay Applied, 50 ms
00:01:43.218170 Send to PLC Delay Applied, 50 ms
00:01:43.269046 Send to PLC Delay Applied, 50 ms
00:01:43.747782 Send to PLC Delay Applied, 50 ms
00:01:44.276155 Send to PLC Delay Applied, 50 ms
00:01:44.813950 Send to PLC Delay Applied, 50 ms
00:01:45.350306 Send to PLC Delay Applied, 50 ms
00:01:45.878049 Send to PLC Delay Applied, 50 ms
00:01:46.406628 Send to PLC Delay Applied, 50 ms
00:01:46.943005 Send to PLC Delay Applied, 50 ms
00:01:46.995874 Send to PLC Delay Applied, 50 ms
00:01:47.472869 Send to PLC Delay Applied, 50 ms
00:01:48.005193 Send to PLC Delay Applied, 50 ms
00:01:48.536899 Send to PLC Delay Applied, 50 ms
00:01:48.590602 Send to PLC Delay Applied, 50 ms
00:01:49.068518 Send to PLC Delay Applied, 50 ms
00:01:49.598096 Send to PLC Delay Applied, 50 ms
00:01:49.649780 Send to PLC Delay Applied, 50 ms
00:01:50.126536 Send to PLC Delay Applied, 50 ms
00:01:50.658048 Send to PLC Delay Applied, 50 ms
00:01:51.192661 Send to PLC Delay Applied, 50 ms
00:01:51.723259 Send to PLC Delay Applied, 50 ms
00:01:52.261739 Send to PLC Delay Applied, 50 ms
00:01:52.790415 Send to PLC Delay Applied, 50 ms
00:01:53.322305 Send to PLC Delay Applied, 50 ms
00:01:53.854522 Send to PLC Delay Applied, 50 ms
00:01:54.381071 Send to PLC Delay Applied, 50 ms
00:01:54.920874 Send to PLC Delay Applied, 50 ms
00:01:55.446458 Send to PLC Delay Applied, 50 ms
00:01:55.497123 Send to PLC Delay Applied, 50 ms
00:01:55.981064 Send to PLC Delay Applied, 50 ms
00:01:56.509405 Send to PLC Delay Applied, 50 ms
00:01:57.041987 Send to PLC Delay Applied, 50 ms
00:01:57.093017 Send to PLC Delay Applied, 50 ms
00:01:57.578791 Send to PLC Delay Applied, 50 ms
00:01:58.110403 Send to PLC Delay Applied, 50 ms
00:01:58.646804 Send to PLC Delay Applied, 50 ms
00:01:59.171334 Send to PLC Delay Applied, 50 ms
00:01:59.222409 Send to PLC Delay Applied, 50 ms
00:01:59.701135 Send to PLC Delay Applied, 50 ms
00:02:00.232671 Send to PLC Delay Applied, 50 ms
00:02:00.762274 Send to PLC Delay Applied, 50 ms
00:02:01.299827 Send to PLC Delay Applied, 50 ms
00:02:01.350522 Send to PLC Delay Applied, 50 ms
00:02:01.831355 Send to PLC Delay Applied, 50 ms
00:02:02.361827 Send to PLC Delay Applied, 50 ms
00:02:02.893376 Send to PLC Delay Applied, 50 ms
00:02:02.945251 Send to PLC Delay Applied, 50 ms
00:02:03.427945 Send to PLC Delay Applied, 50 ms
00:02:03.957452 Send to PLC Delay Applied, 50 ms
00:02:04.492173 Send to PLC Delay Applied, 50 ms
00:02:05.021660 Send to PLC Delay Applied, 50 ms
00:02:05.071788 Send to PLC Delay Applied, 50 ms
00:02:05.551453 Send to PLC Delay Applied, 50 ms
00:02:06.094003 Send to PLC Delay Applied, 50 ms
00:02:06.615351 Send to PLC Delay Applied, 50 ms
00:02:07.154132 Send to PLC Delay Applied, 50 ms
00:02:07.683543 Send to PLC Delay Applied, 50 ms
00:02:08.211114 Send to PLC Delay Applied, 50 ms
00:02:08.262001 Send to PLC Delay Applied, 50 ms
00:02:08.742890 Send to PLC Delay Applied, 50 ms
00:02:09.280227 Send to PLC Delay Applied, 50 ms
00:02:09.809135 Send to PLC Delay Applied, 50 ms
00:02:10.340413 Send to PLC Delay Applied, 50 ms
00:02:10.391505 Send to PLC Delay Applied, 50 ms
00:02:10.874030 Send to PLC Delay Applied, 50 ms
00:02:11.404795 Send to PLC Delay Applied, 50 ms
00:02:11.455601 Send to PLC Delay Applied, 50 ms
00:02:11.936345 Send to PLC Delay Applied, 50 ms
00:02:11.987243 Send to PLC Delay Applied, 50 ms
00:02:12.468050 Send to PLC Delay Applied, 50 ms
00:02:13.001361 Send to PLC Delay Applied, 50 ms
00:02:13.532116 Send to PLC Delay Applied, 50 ms
00:02:14.065623 Send to PLC Delay Applied, 50 ms
00:02:14.116302 Send to PLC Delay Applied, 50 ms
00:02:14.593236 Send to PLC Delay Applied, 50 ms
00:02:15.128819 Send to PLC Delay Applied, 50 ms
00:02:15.657414 Send to PLC Delay Applied, 50 ms
00:02:16.189845 Send to PLC Delay Applied, 50 ms
00:02:16.720628 Send to PLC Delay Applied, 50 ms
00:02:16.771198 Send to PLC Delay Applied, 50 ms
00:02:17.257055 Send to PLC Delay Applied, 50 ms
00:02:17.778719 Send to PLC Delay Applied, 50 ms
00:02:18.319334 Send to PLC Delay Applied, 50 ms
00:02:18.845943 Send to PLC Delay Applied, 50 ms
00:02:19.384354 Send to PLC Delay Applied, 50 ms
00:02:19.908848 Send to PLC Delay Applied, 50 ms
00:02:20.444398 Send to PLC Delay Applied, 50 ms
00:02:20.494465 Send to PLC Delay Applied, 50 ms
00:02:20.972218 Send to PLC Delay Applied, 50 ms
00:02:21.024842 Send to PLC Delay Applied, 50 ms
00:02:21.506786 Send to PLC Delay Applied, 50 ms
00:02:22.037120 Send to PLC Delay Applied, 50 ms
00:02:22.565926 Send to PLC Delay Applied, 50 ms
00:02:23.103255 Send to PLC Delay Applied, 50 ms
00:02:23.638066 Send to PLC Delay Applied, 50 ms
00:02:24.164526 Send to PLC Delay Applied, 50 ms
00:02:24.706212 Send to PLC Delay Applied, 50 ms
00:02:25.234562 Send to PLC Delay Applied, 50 ms
00:02:25.764166 Send to PLC Delay Applied, 50 ms
00:02:25.816271 Send to PLC Delay Applied, 50 ms
00:02:26.296869 Send to PLC Delay Applied, 50 ms
00:02:26.347805 Send to PLC Delay Applied, 50 ms
00:02:26.826583 Send to PLC Delay Applied, 50 ms
00:02:26.877407 Send to PLC Delay Applied, 50 ms
00:02:27.355169 Send to PLC Delay Applied, 50 ms
00:02:27.886762 Send to PLC Delay Applied, 50 ms
00:02:28.418008 Send to PLC Delay Applied, 50 ms
00:02:28.953818 Send to PLC Delay Applied, 50 ms
00:02:29.491172 Send to PLC Delay Applied, 50 ms
00:02:30.014035 Send to PLC Delay Applied, 50 ms
00:02:30.064896 Send to PLC Delay Applied, 50 ms
00:02:30.545592 Send to PLC Delay Applied, 50 ms
00:02:31.084438 Send to PLC Delay Applied, 50 ms
00:02:31.138996 Send to PLC Delay Applied, 50 ms
00:02:31.609745 Send to PLC Delay Applied, 50 ms
00:02:31.660637 Send to PLC Delay Applied, 50 ms
00:02:32.142329 Send to PLC Delay Applied, 50 ms
00:02:32.192960 Send to PLC Delay Applied, 50 ms
00:02:32.681931 Send to PLC Delay Applied, 50 ms
00:02:33.210423 Send to PLC Delay Applied, 50 ms
00:02:33.738936 Send to PLC Delay Applied, 50 ms
00:02:34.272416 Send to PLC Delay Applied, 50 ms
00:02:34.325255 Send to PLC Delay Applied, 50 ms
00:02:34.805022 Send to PLC Delay Applied, 50 ms
00:02:35.328810 Send to PLC Delay Applied, 50 ms
00:02:35.379678 Send to PLC Delay Applied, 50 ms
00:02:35.865143 Send to PLC Delay Applied, 50 ms
00:02:36.395937 Send to PLC Delay Applied, 50 ms
00:02:36.936231 Send to PLC Delay Applied, 50 ms
00:02:37.460925 Send to PLC Delay Applied, 50 ms
00:02:37.512688 Send to PLC Delay Applied, 50 ms
00:02:37.992690 Send to PLC Delay Applied, 50 ms
00:02:38.537000 Send to PLC Delay Applied, 50 ms
00:02:39.061627 Send to PLC Delay Applied, 50 ms
00:02:39.593417 Send to PLC Delay Applied, 50 ms
00:02:40.118761 Send to PLC Delay Applied, 50 ms
00:02:40.654550 Send to PLC Delay Applied, 50 ms
00:02:41.181025 Send to PLC Delay Applied, 50 ms
00:02:41.715583 Send to PLC Delay Applied, 50 ms
00:02:42.251275 Send to PLC Delay Applied, 50 ms
00:02:42.781757 Send to PLC Delay Applied, 50 ms
00:02:43.313455 Send to PLC Delay Applied, 50 ms
00:02:43.841987 Send to PLC Delay Applied, 50 ms
00:02:44.372379 Send to PLC Delay Applied, 50 ms
00:02:44.906195 Send to PLC Delay Applied, 50 ms
00:02:45.436778 Send to PLC Delay Applied, 50 ms
00:02:45.973323 Send to PLC Delay Applied, 50 ms
00:02:46.506684 Send to PLC Delay Applied, 50 ms
00:02:46.557546 Send to PLC Delay Applied, 50 ms
00:02:47.033245 Send to PLC Delay Applied, 50 ms
00:02:47.084110 Send to PLC Delay Applied, 50 ms
00:02:47.564041 Send to PLC Delay Applied, 50 ms
00:02:48.097437 Send to PLC Delay Applied, 50 ms
00:02:48.638106 Send to PLC Delay Applied, 50 ms
00:02:48.690144 Send to PLC Delay Applied, 50 ms
00:02:49.164518 Send to PLC Delay Applied, 50 ms
00:02:49.694128 Send to PLC Delay Applied, 50 ms
00:02:49.744227 Send to PLC Delay Applied, 50 ms
00:02:50.228703 Send to PLC Delay Applied, 50 ms
00:02:50.764524 Send to PLC Delay Applied, 50 ms
00:02:51.293056 Send to PLC Delay Applied, 50 ms
00:02:51.343983 Send to PLC Delay Applied, 50 ms
00:02:51.824429 Send to PLC Delay Applied, 50 ms
00:02:52.353010 Send to PLC Delay Applied, 50 ms
00:02:52.881875 Send to PLC Delay Applied, 50 ms
00:02:52.932474 Send to PLC Delay Applied, 50 ms
00:02:53.412427 Send to PLC Delay Applied, 50 ms
00:02:53.945978 Send to PLC Delay Applied, 50 ms
00:02:53.996850 Send to PLC Delay Applied, 50 ms
00:02:54.480550 Send to PLC Delay Applied, 50 ms
00:02:55.010029 Send to PLC Delay Applied, 50 ms
00:02:55.540535 Send to PLC Delay Applied, 50 ms
00:02:55.592555 Send to PLC Delay Applied, 50 ms
00:02:56.076131 Send to PLC Delay Applied, 50 ms
00:02:56.610863 Send to PLC Delay Applied, 50 ms
00:02:57.136449 Send to PLC Delay Applied, 50 ms
00:02:57.672004 Send to PLC Delay Applied, 50 ms
00:02:57.722874 Send to PLC Delay Applied, 50 ms
00:02:58.206552 Send to PLC Delay Applied, 50 ms
00:02:58.737160 Send to PLC Delay Applied, 50 ms
00:02:58.787775 Send to PLC Delay Applied, 50 ms
00:02:59.265560 Send to PLC Delay Applied, 50 ms
00:02:59.316647 Send to PLC Delay Applied, 50 ms
00:02:59.799075 Send to PLC Delay Applied, 50 ms
00:03:00.335889 Send to PLC Delay Applied, 50 ms
00:03:00.859294 Send to PLC Delay Applied, 50 ms
00:03:01.391067 Send to PLC Delay Applied, 50 ms
00:03:01.921655 Send to PLC Delay Applied, 50 ms
00:03:02.455226 Send to PLC Delay Applied, 50 ms
00:03:02.506086 Send to PLC Delay Applied, 50 ms
00:03:02.986842 Send to PLC Delay Applied, 50 ms
00:03:03.037535 Send to PLC Delay Applied, 50 ms
00:03:03.518151 Send to PLC Delay Applied, 50 ms
00:03:04.055920 Send to PLC Delay Applied, 50 ms
00:03:04.591511 Send to PLC Delay Applied, 50 ms
00:03:05.115858 Send to PLC Delay Applied, 50 ms
00:03:05.642666 Send to PLC Delay Applied, 50 ms
00:03:06.182261 Send to PLC Delay Applied, 50 ms
00:03:06.715775 Send to PLC Delay Applied, 50 ms
00:03:07.241419 Send to PLC Delay Applied, 50 ms
00:03:07.292031 Send to PLC Delay Applied, 50 ms
00:03:07.770856 Send to PLC Delay Applied, 50 ms
00:03:07.821936 Send to PLC Delay Applied, 50 ms
00:03:08.302578 Send to PLC Delay Applied, 50 ms
00:03:08.833142 Send to PLC Delay Applied, 50 ms
00:03:08.883989 Send to PLC Delay Applied, 50 ms
00:03:09.367658 Send to PLC Delay Applied, 50 ms
00:03:09.905057 Send to PLC Delay Applied, 50 ms
00:03:10.432870 Send to PLC Delay Applied, 50 ms
00:03:10.483681 Send to PLC Delay Applied, 50 ms
00:03:10.964466 Send to PLC Delay Applied, 50 ms
00:03:11.015763 Send to PLC Delay Applied, 50 ms
00:03:11.494767 Send to PLC Delay Applied, 50 ms
00:03:11.545681 Send to PLC Delay Applied, 50 ms
00:03:12.031461 Send to PLC Delay Applied, 50 ms
00:03:12.082298 Send to PLC Delay Applied, 50 ms
00:03:12.560996 Send to PLC Delay Applied, 50 ms
00:03:13.093697 Send to PLC Delay Applied, 50 ms
00:03:13.624141 Send to PLC Delay Applied, 50 ms
00:03:14.160654 Send to PLC Delay Applied, 50 ms
00:03:14.216569 Send to PLC Delay Applied, 50 ms
00:03:14.688472 Send to PLC Delay Applied, 50 ms
00:03:15.218837 Send to PLC Delay Applied, 50 ms
00:03:15.750698 Send to PLC Delay Applied, 50 ms
00:03:15.801289 Send to PLC Delay Applied, 50 ms
00:03:16.284012 Send to PLC Delay Applied, 50 ms
00:03:16.334872 Send to PLC Delay Applied, 50 ms
00:03:16.816553 Send to PLC Delay Applied, 50 ms
00:03:17.353132 Send to PLC Delay Applied, 50 ms
00:03:17.403235 Send to PLC Delay Applied, 50 ms
00:03:17.882897 Send to PLC Delay Applied, 50 ms
00:03:17.933581 Send to PLC Delay Applied, 50 ms
00:03:18.408537 Send to PLC Delay Applied, 50 ms
